case_index	table_id	hypothesis	label
57-29	T766	Cognac comes in more than four variants.	C
58-0	T771	Cruel Summer is worked on by less than 18 producers.	C
58-1	T771	Cruel Summer is worked on by less than 19 producers.	C
58-2	T771	Cruel Summer is worked on by less than 20 producers.	E
58-9	T771	Cruel Summer is worked on by no more than 18 producers.	C
58-10	T771	Cruel Summer is worked on by no more than 19 producers.	E
58-11	T771	Cruel Summer is worked on by no more than 20 producers.	E
58-12	T771	Cruel Summer is worked on by exactly 18 producers.	C
58-13	T771	Cruel Summer is worked on by exactly 19 producers.	E
58-14	T771	Cruel Summer is worked on by exactly 20 producers.	C
58-15	T771	Cruel Summer is worked on by 18 producers.	E
58-16	T771	Cruel Summer is worked on by 19 producers.	E
58-17	T771	Cruel Summer is worked on by 20 producers.	C
58-18	T771	Cruel Summer is worked on by at least 18 producers.	E
58-19	T771	Cruel Summer is worked on by at least 19 producers.	E
58-20	T771	Cruel Summer is worked on by at least 20 producers.	C
58-24	T771	Cruel Summer is worked on by no less than 18 producers.	E
58-25	T771	Cruel Summer is worked on by no less than 19 producers.	E
58-26	T771	Cruel Summer is worked on by no less than 20 producers.	C
58-27	T771	Cruel Summer is worked on by more than 18 producers.	E
58-28	T771	Cruel Summer is worked on by more than 19 producers.	C
58-29	T771	Cruel Summer is worked on by more than 20 producers.	C
59-0	T774	David Letterman has had less than two wives.	C
59-1	T774	David Letterman has had less than three wives.	E
59-8	T774	David Letterman has had no more than one wife.	C
59-9	T774	David Letterman has had no more than two wives.	E
59-10	T774	David Letterman has had no more than three wives.	E
59-11	T774	David Letterman has had exactly one wife.	C
59-12	T774	David Letterman has had exactly two wives.	E
59-13	T774	David Letterman has had exactly three wives.	C
59-14	T774	David Letterman has had one wife.	E
59-15	T774	David Letterman has had two wives.	E
59-16	T774	David Letterman has had three wives.	C
59-17	T774	David Letterman has had at least one wife.	E
59-18	T774	David Letterman has had at least two wives.	E
59-19	T774	David Letterman has had at least three wives.	C
59-23	T774	David Letterman has had no less than one wife.	E
59-24	T774	David Letterman has had no less than two wives.	E
59-25	T774	David Letterman has had no less than three wives.	C
59-26	T774	David Letterman has had more than one wife.	E
59-27	T774	David Letterman has had more than two wives.	C
59-28	T774	David Letterman has had more than three wives.	C
61-0	T789	David Ngunaitponi has less than two names.	C
61-1	T789	David Ngunaitponi has less than three names.	E
61-8	T789	David Ngunaitponi has no more than one name.	C
61-9	T789	David Ngunaitponi has no more than two names.	E
61-10	T789	David Ngunaitponi has no more than three names.	E
61-11	T789	David Ngunaitponi has exactly one name.	C
61-12	T789	David Ngunaitponi has exactly two names.	E
61-13	T789	David Ngunaitponi has exactly three names.	C
61-14	T789	David Ngunaitponi has one name.	E
61-15	T789	David Ngunaitponi has two names.	E
61-16	T789	David Ngunaitponi has three names.	C
61-17	T789	David Ngunaitponi has at least one name.	E
61-18	T789	David Ngunaitponi has at least two names.	E
61-19	T789	David Ngunaitponi has at least three names.	C
61-23	T789	David Ngunaitponi has no less than one name.	E
61-24	T789	David Ngunaitponi has no less than two names.	E
61-25	T789	David Ngunaitponi has no less than three names.	C
61-26	T789	David Ngunaitponi has more than one name.	E
61-27	T789	David Ngunaitponi has more than two names.	C
61-28	T789	David Ngunaitponi has more than three names.	C
62-0	T806	Collective Soul has recorded less than 18 albums.	N
62-1	T806	Collective Soul has recorded less than 19 albums.	N
62-2	T806	Collective Soul has recorded less than 20 albums.	N
62-9	T806	Collective Soul has recorded no more than 18 albums.	N
62-10	T806	Collective Soul has recorded no more than 19 albums.	N
62-11	T806	Collective Soul has recorded no more than 20 albums.	N
62-12	T806	Collective Soul has recorded exactly 18 albums.	N
62-13	T806	Collective Soul has recorded exactly 19 albums.	N
62-14	T806	Collective Soul has recorded exactly 20 albums.	N
62-15	T806	Collective Soul has recorded 18 albums.	N
62-16	T806	Collective Soul has recorded 19 albums.	N
62-17	T806	Collective Soul has recorded 20 albums.	N
62-18	T806	Collective Soul has recorded at least 18 albums.	N
62-19	T806	Collective Soul has recorded at least 19 albums.	N
62-20	T806	Collective Soul has recorded at least 20 albums.	N
62-24	T806	Collective Soul has recorded no less than 18 albums.	N
62-25	T806	Collective Soul has recorded no less than 19 albums.	N
62-26	T806	Collective Soul has recorded no less than 20 albums.	N
62-27	T806	Collective Soul has recorded more than 18 albums.	N
62-28	T806	Collective Soul has recorded more than 19 albums.	N
62-29	T806	Collective Soul has recorded more than 20 albums.	N
63-0	T814	Colonel Meow had less than two owners.	E
63-5	T814	Colonel Meow had no more than one owner.	E
63-6	T814	Colonel Meow had no more than two owners.	E
63-7	T814	Colonel Meow had exactly one owner.	E
63-8	T814	Colonel Meow had exactly two owners.	C
63-9	T814	Colonel Meow had one owner.	E
63-10	T814	Colonel Meow had two owners.	C
63-11	T814	Colonel Meow had at least one owner.	E
63-12	T814	Colonel Meow had at least two owners.	C
63-15	T814	Colonel Meow had no less than one owner.	E
63-16	T814	Colonel Meow had no less than two owners.	C
63-17	T814	Colonel Meow had more than one owner.	C
63-18	T814	Colonel Meow had more than two owners.	C
64-0	T858	The film Death Note had less than two companies.	E
64-5	T858	The film Death Note had no more than one company.	E
64-6	T858	The film Death Note had no more than two companies.	E
64-7	T858	The film Death Note had exactly one company.	E
64-8	T858	The film Death Note had exactly two companies.	C
64-9	T858	The film Death Note had one company.	E
64-10	T858	The film Death Note had two companies.	C
64-11	T858	The film Death Note had at least one company.	E
64-12	T858	The film Death Note had at least two companies.	C
64-15	T858	The film Death Note had no less than one company.	E
64-16	T858	The film Death Note had no less than two companies.	C
64-17	T858	The film Death Note had more than one company.	C
64-18	T858	The film Death Note had more than two companies.	C
65-1	T1276	Chad Kroeger has been married less than twice.	E
65-6	T1276	Chad Kroeger has been married no more than once.	E
65-7	T1276	Chad Kroeger has been married no more than twice.	E
65-8	T1276	Chad Kroeger has been married exactly once.	E
65-9	T1276	Chad Kroeger has been married exactly twice.	C
65-10	T1276	Chad Kroeger has been married once.	E
65-11	T1276	Chad Kroeger has been married twice.	C
65-12	T1276	Chad Kroeger has been married at least once.	E
65-13	T1276	Chad Kroeger has been married at least twice.	C
65-16	T1276	Chad Kroeger has been married no less than once.	E
65-17	T1276	Chad Kroeger has been married no less than twice.	C
65-18	T1276	Chad Kroeger has been married more than once.	C
65-19	T1276	Chad Kroeger has been married more than twice.	C
66-0	T1426	Katey Sagal has been married less than three times.	C
66-1	T1426	Katey Sagal has been married less than four times.	C
66-2	T1426	Katey Sagal has been married less than five times.	E
66-9	T1426	Katey Sagal has been married no more than three times.	C
66-10	T1426	Katey Sagal has been married no more than four times.	E
66-11	T1426	Katey Sagal has been married no more than five times.	E
66-12	T1426	Katey Sagal has been married exactly three times.	C
66-13	T1426	Katey Sagal has been married exactly four times.	E
66-14	T1426	Katey Sagal has been married exactly five times.	C
66-15	T1426	Katey Sagal has been married three times.	E
66-16	T1426	Katey Sagal has been married four times.	E
66-17	T1426	Katey Sagal has been married five times.	C
66-18	T1426	Katey Sagal has been married at least three times.	E
66-19	T1426	Katey Sagal has been married at least four times.	E
66-20	T1426	Katey Sagal has been married at least five times.	C
66-24	T1426	Katey Sagal has been married no less than three times.	E
66-25	T1426	Katey Sagal has been married no less than four times.	E
66-26	T1426	Katey Sagal has been married no less than five times.	C
66-27	T1426	Katey Sagal has been married more than three times.	E
66-28	T1426	Katey Sagal has been married more than four times.	C
66-29	T1426	Katey Sagal has been married more than five times.	C
67-1	T1450	Johan Petter Johansson got married less than twice.	E
67-6	T1450	Johan Petter Johansson got married no more than once.	E
67-7	T1450	Johan Petter Johansson got married no more than twice.	E
67-8	T1450	Johan Petter Johansson got married exactly once.	E
67-9	T1450	Johan Petter Johansson got married exactly twice.	C
67-10	T1450	Johan Petter Johansson got married once.	E
67-11	T1450	Johan Petter Johansson got married twice.	C
67-12	T1450	Johan Petter Johansson got married at least once.	E
67-13	T1450	Johan Petter Johansson got married at least twice.	C
67-16	T1450	Johan Petter Johansson got married no less than once.	E
67-17	T1450	Johan Petter Johansson got married no less than twice.	C
67-18	T1450	Johan Petter Johansson got married more than once.	C
67-19	T1450	Johan Petter Johansson got married more than twice.	C
68-0	T1450	Johan Petter Johansson was known for less than two invensions.	C
68-1	T1450	Johan Petter Johansson was known for less than three invensions.	C
68-2	T1450	Johan Petter Johansson was known for less than four invensions.	E
68-9	T1450	Johan Petter Johansson was known for no more than two invensions.	C
68-10	T1450	Johan Petter Johansson was known for no more than three invensions.	E
68-11	T1450	Johan Petter Johansson was known for no more than four invensions.	E
68-12	T1450	Johan Petter Johansson was known for exactly two invensions.	C
68-13	T1450	Johan Petter Johansson was known for exactly three invensions.	E
68-14	T1450	Johan Petter Johansson was known for exactly four invensions.	C
68-15	T1450	Johan Petter Johansson was known for two invensions.	E
68-16	T1450	Johan Petter Johansson was known for three invensions.	E
68-17	T1450	Johan Petter Johansson was known for four invensions.	C
68-18	T1450	Johan Petter Johansson was known for at least two invensions.	E
68-19	T1450	Johan Petter Johansson was known for at least three invensions.	E
68-20	T1450	Johan Petter Johansson was known for at least four invensions.	C
68-24	T1450	Johan Petter Johansson was known for no less than two invensions.	E
68-25	T1450	Johan Petter Johansson was known for no less than three invensions.	E
68-26	T1450	Johan Petter Johansson was known for no less than four invensions.	C
68-27	T1450	Johan Petter Johansson was known for more than two invensions.	E
68-28	T1450	Johan Petter Johansson was known for more than three invensions.	C
68-29	T1450	Johan Petter Johansson was known for more than four invensions.	C
69-0	T1455	Jeff Bezos has less than two houses.	E
69-5	T1455	Jeff Bezos has no more than one house.	E
69-6	T1455	Jeff Bezos has no more than two houses.	E
69-7	T1455	Jeff Bezos has exactly one house.	E
69-8	T1455	Jeff Bezos has exactly two houses.	C
69-9	T1455	Jeff Bezos has one house.	E
69-10	T1455	Jeff Bezos has two houses.	C
69-11	T1455	Jeff Bezos has at least one house.	E
69-12	T1455	Jeff Bezos has at least two houses.	C
69-15	T1455	Jeff Bezos has no less than one house.	E
69-16	T1455	Jeff Bezos has no less than two houses.	C
69-17	T1455	Jeff Bezos has more than one house.	C
69-18	T1455	Jeff Bezos has more than two houses.	C
70-0	T1478	John Wesley Harding was written by less than two people.	N
70-5	T1478	John Wesley Harding was written by no more than one person.	N
70-6	T1478	John Wesley Harding was written by no more than two people.	N
70-7	T1478	John Wesley Harding was written by exactly one person.	N
70-8	T1478	John Wesley Harding was written by exactly two people.	N
70-9	T1478	John Wesley Harding was written by one person.	N
70-10	T1478	John Wesley Harding was written by two people.	N
70-11	T1478	John Wesley Harding was written by at least one person.	N
70-12	T1478	John Wesley Harding was written by at least two people.	N
70-15	T1478	John Wesley Harding was written by no less than one person.	N
70-16	T1478	John Wesley Harding was written by no less than two people.	N
70-17	T1478	John Wesley Harding was written by more than one person.	N
70-18	T1478	John Wesley Harding was written by more than two people.	N
71-0	T1493	Josh Homme has been on less than 11 labels.	C
71-1	T1493	Josh Homme has been on less than 12 labels.	C
71-2	T1493	Josh Homme has been on less than 13 labels.	E
71-9	T1493	Josh Homme has been on no more than 11 labels.	C
71-10	T1493	Josh Homme has been on no more than 12 labels.	E
71-11	T1493	Josh Homme has been on no more than 13 labels.	E
71-12	T1493	Josh Homme has been on exactly 11 labels.	C
71-13	T1493	Josh Homme has been on exactly 12 labels.	E
71-14	T1493	Josh Homme has been on exactly 13 labels.	C
71-15	T1493	Josh Homme has been on 11 labels.	E
71-16	T1493	Josh Homme has been on 12 labels.	E
71-17	T1493	Josh Homme has been on 13 labels.	C
71-18	T1493	Josh Homme has been on at least 11 labels.	E
71-19	T1493	Josh Homme has been on at least 12 labels.	E
71-20	T1493	Josh Homme has been on at least 13 labels.	C
71-24	T1493	Josh Homme has been on no less than 11 labels.	E
71-25	T1493	Josh Homme has been on no less than 12 labels.	E
71-26	T1493	Josh Homme has been on no less than 13 labels.	C
71-27	T1493	Josh Homme has been on more than 11 labels.	E
71-28	T1493	Josh Homme has been on more than 12 labels.	C
71-29	T1493	Josh Homme has been on more than 13 labels.	C
72-0	T1520	Kathie Lee Gifford had less than two children.	C
72-1	T1520	Kathie Lee Gifford had less than three children.	E
72-8	T1520	Kathie Lee Gifford had no more than one child.	C
72-9	T1520	Kathie Lee Gifford had no more than two children.	E
72-10	T1520	Kathie Lee Gifford had no more than three children.	E
72-11	T1520	Kathie Lee Gifford had exactly one child.	C
72-12	T1520	Kathie Lee Gifford had exactly two children.	E
72-13	T1520	Kathie Lee Gifford had exactly three children.	C
72-14	T1520	Kathie Lee Gifford had one child.	E
72-15	T1520	Kathie Lee Gifford had two children.	E
72-16	T1520	Kathie Lee Gifford had three children.	C
72-17	T1520	Kathie Lee Gifford had at least one child.	E
72-18	T1520	Kathie Lee Gifford had at least two children.	E
72-19	T1520	Kathie Lee Gifford had at least three children.	C
72-23	T1520	Kathie Lee Gifford had no less than one child.	E
72-24	T1520	Kathie Lee Gifford had no less than two children.	E
72-25	T1520	Kathie Lee Gifford had no less than three children.	C
72-26	T1520	Kathie Lee Gifford had more than one child.	E
72-27	T1520	Kathie Lee Gifford had more than two children.	C
72-28	T1520	Kathie Lee Gifford had more than three children.	C
73-0	T1571	Jordan Fisher lives with less than two dogs.	N
73-1	T1571	Jordan Fisher lives with less than three dogs.	N
73-8	T1571	Jordan Fisher lives with no more than one dog.	N
73-9	T1571	Jordan Fisher lives with no more than two dogs.	N
73-10	T1571	Jordan Fisher lives with no more than three dogs.	N
73-11	T1571	Jordan Fisher lives with exactly one dog.	N
73-12	T1571	Jordan Fisher lives with exactly two dogs.	N
73-13	T1571	Jordan Fisher lives with exactly three dogs.	N
73-14	T1571	Jordan Fisher lives with one dog.	N
73-15	T1571	Jordan Fisher lives with two dogs.	N
73-16	T1571	Jordan Fisher lives with three dogs.	N
73-17	T1571	Jordan Fisher lives with at least one dog.	N
73-18	T1571	Jordan Fisher lives with at least two dogs.	N
73-19	T1571	Jordan Fisher lives with at least three dogs.	N
73-23	T1571	Jordan Fisher lives with no less than one dog.	N
73-24	T1571	Jordan Fisher lives with no less than two dogs.	N
73-25	T1571	Jordan Fisher lives with no less than three dogs.	N
73-26	T1571	Jordan Fisher lives with more than one dog.	N
73-27	T1571	Jordan Fisher lives with more than two dogs.	N
73-28	T1571	Jordan Fisher lives with more than three dogs.	N
74-0	T1607	Jigsaw was distributed by less than two companies.	E
74-5	T1607	Jigsaw was distributed by no more than one company.	E
74-6	T1607	Jigsaw was distributed by no more than two companies.	E
74-7	T1607	Jigsaw was distributed by exactly one company.	E
74-8	T1607	Jigsaw was distributed by exactly two companies.	C
74-9	T1607	Jigsaw was distributed by one company.	E
74-10	T1607	Jigsaw was distributed by two companies.	C
74-11	T1607	Jigsaw was distributed by at least one company.	E
74-12	T1607	Jigsaw was distributed by at least two companies.	C
74-15	T1607	Jigsaw was distributed by no less than one company.	E
74-16	T1607	Jigsaw was distributed by no less than two companies.	C
74-17	T1607	Jigsaw was distributed by more than one company.	C
74-18	T1607	Jigsaw was distributed by more than two companies.	C
75-0	T1657	Julia Michaels has released music on less than two labels.	E
75-5	T1657	Julia Michaels has released music on no more than one label.	E
75-6	T1657	Julia Michaels has released music on no more than two labels.	E
75-7	T1657	Julia Michaels has released music on exactly one label.	E
75-8	T1657	Julia Michaels has released music on exactly two labels.	C
75-9	T1657	Julia Michaels has released music on one label.	E
75-10	T1657	Julia Michaels has released music on two labels.	C
75-11	T1657	Julia Michaels has released music on at least one label.	E
75-12	T1657	Julia Michaels has released music on at least two labels.	C
75-15	T1657	Julia Michaels has released music on no less than one label.	E
75-16	T1657	Julia Michaels has released music on no less than two labels.	C
75-17	T1657	Julia Michaels has released music on more than one label.	C
75-18	T1657	Julia Michaels has released music on more than two labels.	C
76-0	T1671	Jim Mattis worked for less than two Presidents.	E
76-5	T1671	Jim Mattis worked for no more than one President.	E
76-6	T1671	Jim Mattis worked for no more than two Presidents.	E
76-7	T1671	Jim Mattis worked for exactly one President.	E
76-8	T1671	Jim Mattis worked for exactly two Presidents.	C
76-9	T1671	Jim Mattis worked for one President.	E
76-10	T1671	Jim Mattis worked for two Presidents.	C
76-11	T1671	Jim Mattis worked for at least one President.	E
76-12	T1671	Jim Mattis worked for at least two Presidents.	C
76-15	T1671	Jim Mattis worked for no less than one President.	E
76-16	T1671	Jim Mattis worked for no less than two Presidents.	C
76-17	T1671	Jim Mattis worked for more than one President.	C
76-18	T1671	Jim Mattis worked for more than two Presidents.	C
77-0	T1683	Katie Cassidy is married with less than two dogs.	N
77-1	T1683	Katie Cassidy is married with less than three dogs.	N
77-8	T1683	Katie Cassidy is married with no more than one dog.	N
77-9	T1683	Katie Cassidy is married with no more than two dogs.	N
77-10	T1683	Katie Cassidy is married with no more than three dogs.	N
77-11	T1683	Katie Cassidy is married with exactly one dog.	N
77-12	T1683	Katie Cassidy is married with exactly two dogs.	N
77-13	T1683	Katie Cassidy is married with exactly three dogs.	N
77-14	T1683	Katie Cassidy is married with one dog.	N
77-15	T1683	Katie Cassidy is married with two dogs.	N
77-16	T1683	Katie Cassidy is married with three dogs.	N
77-17	T1683	Katie Cassidy is married with at least one dog.	N
77-18	T1683	Katie Cassidy is married with at least two dogs.	N
77-19	T1683	Katie Cassidy is married with at least three dogs.	N
77-23	T1683	Katie Cassidy is married with no less than one dog.	N
77-24	T1683	Katie Cassidy is married with no less than two dogs.	N
77-25	T1683	Katie Cassidy is married with no less than three dogs.	N
77-26	T1683	Katie Cassidy is married with more than one dog.	N
77-27	T1683	Katie Cassidy is married with more than two dogs.	N
77-28	T1683	Katie Cassidy is married with more than three dogs.	N
78-0	T1685	Keeley Hawes has had less than two husbands.	C
78-1	T1685	Keeley Hawes has had less than three husbands.	E
78-8	T1685	Keeley Hawes has had no more than one husband.	C
78-9	T1685	Keeley Hawes has had no more than two husbands.	E
78-10	T1685	Keeley Hawes has had no more than three husbands.	E
78-11	T1685	Keeley Hawes has had exactly one husband.	C
78-12	T1685	Keeley Hawes has had exactly two husbands.	E
78-13	T1685	Keeley Hawes has had exactly three husbands.	C
78-14	T1685	Keeley Hawes has had one husband.	E
78-15	T1685	Keeley Hawes has had two husbands.	E
78-16	T1685	Keeley Hawes has had three husbands.	C
78-17	T1685	Keeley Hawes has had at least one husband.	E
78-18	T1685	Keeley Hawes has had at least two husbands.	E
78-19	T1685	Keeley Hawes has had at least three husbands.	C
78-23	T1685	Keeley Hawes has had no less than one husband.	E
78-24	T1685	Keeley Hawes has had no less than two husbands.	E
78-25	T1685	Keeley Hawes has had no less than three husbands.	C
78-26	T1685	Keeley Hawes has had more than one husband.	E
78-27	T1685	Keeley Hawes has had more than two husbands.	C
78-28	T1685	Keeley Hawes has had more than three husbands.	C
79-0	T1686	Justin Bieber has made music on less than four labels.	C
79-1	T1686	Justin Bieber has made music on less than five labels.	C
79-2	T1686	Justin Bieber has made music on less than six labels.	E
79-9	T1686	Justin Bieber has made music on no more than four labels.	C
79-10	T1686	Justin Bieber has made music on no more than five labels.	E
79-11	T1686	Justin Bieber has made music on no more than six labels.	E
79-12	T1686	Justin Bieber has made music on exactly four labels.	C
79-13	T1686	Justin Bieber has made music on exactly five labels.	E
79-14	T1686	Justin Bieber has made music on exactly six labels.	C
79-15	T1686	Justin Bieber has made music on four labels.	E
79-16	T1686	Justin Bieber has made music on five labels.	E
79-17	T1686	Justin Bieber has made music on six labels.	C
79-18	T1686	Justin Bieber has made music on at least four labels.	E
79-19	T1686	Justin Bieber has made music on at least five labels.	E
79-20	T1686	Justin Bieber has made music on at least six labels.	C
79-24	T1686	Justin Bieber has made music on no less than four labels.	E
79-25	T1686	Justin Bieber has made music on no less than five labels.	E
79-26	T1686	Justin Bieber has made music on no less than six labels.	C
79-27	T1686	Justin Bieber has made music on more than four labels.	E
79-28	T1686	Justin Bieber has made music on more than five labels.	C
79-29	T1686	Justin Bieber has made music on more than six labels.	C
80-0	T1697	Dr. John S. Pemberton had less than two wives.	E
80-5	T1697	Dr. John S. Pemberton had no more than one wife.	E
80-6	T1697	Dr. John S. Pemberton had no more than two wives.	E
80-7	T1697	Dr. John S. Pemberton had exactly one wife.	E
80-8	T1697	Dr. John S. Pemberton had exactly two wives.	C
80-9	T1697	Dr. John S. Pemberton had one wife.	E
80-10	T1697	Dr. John S. Pemberton had two wives.	C
80-11	T1697	Dr. John S. Pemberton had at least one wife.	E
80-12	T1697	Dr. John S. Pemberton had at least two wives.	C
80-15	T1697	Dr. John S. Pemberton had no less than one wife.	E
80-16	T1697	Dr. John S. Pemberton had no less than two wives.	C
80-17	T1697	Dr. John S. Pemberton had more than one wife.	C
80-18	T1697	Dr. John S. Pemberton had more than two wives.	C
81-0	T1992	Incarnate was coloured by less than two people.	C
81-1	T1992	Incarnate was coloured by less than three people.	E
81-8	T1992	Incarnate was coloured by no more than one person.	C
81-9	T1992	Incarnate was coloured by no more than two people.	E
81-10	T1992	Incarnate was coloured by no more than three people.	E
81-11	T1992	Incarnate was coloured by exactly one person.	C
81-12	T1992	Incarnate was coloured by exactly two people.	E
81-13	T1992	Incarnate was coloured by exactly three people.	C
81-14	T1992	Incarnate was coloured by one person.	E
81-15	T1992	Incarnate was coloured by two people.	E
81-16	T1992	Incarnate was coloured by three people.	C
81-17	T1992	Incarnate was coloured by at least one person.	E
81-18	T1992	Incarnate was coloured by at least two people.	E
81-19	T1992	Incarnate was coloured by at least three people.	C
81-23	T1992	Incarnate was coloured by no less than one person.	E
81-24	T1992	Incarnate was coloured by no less than two people.	E
81-25	T1992	Incarnate was coloured by no less than three people.	C
81-26	T1992	Incarnate was coloured by more than one person.	E
81-27	T1992	Incarnate was coloured by more than two people.	C
81-28	T1992	Incarnate was coloured by more than three people.	C
82-0	T2055	African trypanosomiasis has less than two stages.	C
82-1	T2055	African trypanosomiasis has less than three stages.	E
82-8	T2055	African trypanosomiasis has no more than one stage.	C
82-9	T2055	African trypanosomiasis has no more than two stages.	E
82-10	T2055	African trypanosomiasis has no more than three stages.	E
82-11	T2055	African trypanosomiasis has exactly one stage.	C
82-12	T2055	African trypanosomiasis has exactly two stages.	E
82-13	T2055	African trypanosomiasis has exactly three stages.	C
82-14	T2055	African trypanosomiasis has one stage.	E
82-15	T2055	African trypanosomiasis has two stages.	E
82-16	T2055	African trypanosomiasis has three stages.	C
82-17	T2055	African trypanosomiasis has at least one stage.	E
82-18	T2055	African trypanosomiasis has at least two stages.	E
82-19	T2055	African trypanosomiasis has at least three stages.	C
82-23	T2055	African trypanosomiasis has no less than one stage.	E
82-24	T2055	African trypanosomiasis has no less than two stages.	E
82-25	T2055	African trypanosomiasis has no less than three stages.	C
82-26	T2055	African trypanosomiasis has more than one stage.	E
82-27	T2055	African trypanosomiasis has more than two stages.	C
82-28	T2055	African trypanosomiasis has more than three stages.	C
83-0	T2060	Angelina has undergone less than two owners.	E
83-5	T2060	Angelina has undergone no more than one owner.	E
83-6	T2060	Angelina has undergone no more than two owners.	E
83-7	T2060	Angelina has undergone exactly one owner.	E
83-8	T2060	Angelina has undergone exactly two owners.	C
83-9	T2060	Angelina has undergone one owner.	E
83-10	T2060	Angelina has undergone two owners.	C
83-11	T2060	Angelina has undergone at least one owner.	E
83-12	T2060	Angelina has undergone at least two owners.	C
83-15	T2060	Angelina has undergone no less than one owner.	E
83-16	T2060	Angelina has undergone no less than two owners.	C
83-17	T2060	Angelina has undergone more than one owner.	C
83-18	T2060	Angelina has undergone more than two owners.	C
84-0	T2060	Angelina has less than three locations.	C
84-1	T2060	Angelina has less than four locations.	C
84-2	T2060	Angelina has less than five locations.	E
84-9	T2060	Angelina has no more than three locations.	C
84-10	T2060	Angelina has no more than four locations.	E
84-11	T2060	Angelina has no more than five locations.	E
84-12	T2060	Angelina has exactly three locations.	C
84-13	T2060	Angelina has exactly four locations.	E
84-14	T2060	Angelina has exactly five locations.	C
84-15	T2060	Angelina has three locations.	E
84-16	T2060	Angelina has four locations.	E
84-17	T2060	Angelina has five locations.	C
84-18	T2060	Angelina has at least three locations.	E
84-19	T2060	Angelina has at least four locations.	E
84-20	T2060	Angelina has at least five locations.	C
84-24	T2060	Angelina has no less than three locations.	E
84-25	T2060	Angelina has no less than four locations.	E
84-26	T2060	Angelina has no less than five locations.	C
84-27	T2060	Angelina has more than three locations.	E
84-28	T2060	Angelina has more than four locations.	C
84-29	T2060	Angelina has more than five locations.	C
85-0	T2073	The BMW 3 Series had less than two designers.	C
85-1	T2073	The BMW 3 Series had less than three designers.	E
85-8	T2073	The BMW 3 Series had no more than one designer.	C
85-9	T2073	The BMW 3 Series had no more than two designers.	E
85-10	T2073	The BMW 3 Series had no more than three designers.	E
85-11	T2073	The BMW 3 Series had exactly one designer.	C
85-12	T2073	The BMW 3 Series had exactly two designers.	E
85-13	T2073	The BMW 3 Series had exactly three designers.	C
85-14	T2073	The BMW 3 Series had one designer.	E
85-15	T2073	The BMW 3 Series had two designers.	E
85-16	T2073	The BMW 3 Series had three designers.	C
85-17	T2073	The BMW 3 Series had at least one designer.	E
85-18	T2073	The BMW 3 Series had at least two designers.	E
85-19	T2073	The BMW 3 Series had at least three designers.	C
85-23	T2073	The BMW 3 Series had no less than one designer.	E
85-24	T2073	The BMW 3 Series had no less than two designers.	E
85-25	T2073	The BMW 3 Series had no less than three designers.	C
85-26	T2073	The BMW 3 Series had more than one designer.	E
85-27	T2073	The BMW 3 Series had more than two designers.	C
85-28	T2073	The BMW 3 Series had more than three designers.	C
86-0	T2099	Debian is compatible with less than ten platforms.	C
86-1	T2099	Debian is compatible with less than 11 platforms.	C
86-2	T2099	Debian is compatible with less than 12 platforms.	E
86-9	T2099	Debian is compatible with no more than ten platforms.	C
86-10	T2099	Debian is compatible with no more than 11 platforms.	E
86-11	T2099	Debian is compatible with no more than 12 platforms.	E
86-12	T2099	Debian is compatible with exactly ten platforms.	C
86-13	T2099	Debian is compatible with exactly 11 platforms.	E
86-14	T2099	Debian is compatible with exactly 12 platforms.	C
86-15	T2099	Debian is compatible with ten platforms.	E
86-16	T2099	Debian is compatible with 11 platforms.	E
86-17	T2099	Debian is compatible with 12 platforms.	C
86-18	T2099	Debian is compatible with at least ten platforms.	E
86-19	T2099	Debian is compatible with at least 11 platforms.	E
86-20	T2099	Debian is compatible with at least 12 platforms.	C
86-24	T2099	Debian is compatible with no less than ten platforms.	E
86-25	T2099	Debian is compatible with no less than 11 platforms.	E
86-26	T2099	Debian is compatible with no less than 12 platforms.	C
86-27	T2099	Debian is compatible with more than ten platforms.	E
86-28	T2099	Debian is compatible with more than 11 platforms.	C
86-29	T2099	Debian is compatible with more than 12 platforms.	C
87-0	T2106	Easter is related to less than 13 holidays.	C
87-1	T2106	Easter is related to less than 14 holidays.	C
87-2	T2106	Easter is related to less than 15 holidays.	E
87-9	T2106	Easter is related to no more than 13 holidays.	C
87-10	T2106	Easter is related to no more than 14 holidays.	E
87-11	T2106	Easter is related to no more than 15 holidays.	E
87-12	T2106	Easter is related to exactly 13 holidays.	C
87-13	T2106	Easter is related to exactly 14 holidays.	E
87-14	T2106	Easter is related to exactly 15 holidays.	C
87-15	T2106	Easter is related to 13 holidays.	E
87-16	T2106	Easter is related to 14 holidays.	E
87-17	T2106	Easter is related to 15 holidays.	C
87-18	T2106	Easter is related to at least 13 holidays.	E
87-19	T2106	Easter is related to at least 14 holidays.	E
87-20	T2106	Easter is related to at least 15 holidays.	C
87-24	T2106	Easter is related to no less than 13 holidays.	E
87-25	T2106	Easter is related to no less than 14 holidays.	E
87-26	T2106	Easter is related to no less than 15 holidays.	C
87-27	T2106	Easter is related to more than 13 holidays.	E
87-28	T2106	Easter is related to more than 14 holidays.	C
87-29	T2106	Easter is related to more than 15 holidays.	C
88-0	T2115	Fatty liver has less than two types.	C
88-1	T2115	Fatty liver has less than three types.	E
88-8	T2115	Fatty liver has no more than one type.	C
88-9	T2115	Fatty liver has no more than two types.	E
